Data;Participante;VI;NumTentativas;CliquesOP1;CliquesOP2;S+OP1;S+OP2;VIsOP1;VIsOP2;CliquesRef_OP1;CliquesRef_OP2;momentoS+OP1;momentoS+OP2;TempoTotal;NomeOp1;NomeOp2;OperandoEscolhido;ContagemReforco;OPTravado;NomeArqCSV
2012_7_31-H17m49;_leobmarques;6;5;17;31;3;2;6, 3, 9, ;6, 9, ;;;8.5, 11.5, 23, ;6, 15, ;23;geic;jogo;geic;AcumuladaDiscriminada; - ;_leobmarques_2012_7_31-H17m49.csv
Data;Participante;VI;NumTentativas;CliquesOP1;CliquesOP2;S+OP1;S+OP2;VIsOP1;VIsOP2;CliquesRef_OP1;CliquesRef_OP2;momentoS+OP1;momentoS+OP2;TempoTotal;NomeOp1;NomeOp2;OperandoEscolhido;ContagemReforco;OPTravado;NomeArqCSV
2012_7_31-H17m49;_leobmarques;6;5;17;31;3;2;6, 3, 9, ;6, 9, ;;;8.5, 11.5, 23, ;6, 15, ;23;geic;jogo;geic;AcumuladaDiscriminada; - ;_leobmarques_2012_7_31-H17m49.csv
Data;Participante;VI;NumTentativas;CliquesOP1;CliquesOP2;S+OP1;S+OP2;VIsOP1;VIsOP2;CliquesRef_OP1;CliquesRef_OP2;momentoS+OP1;momentoS+OP2;TempoTotal;NomeOp1;NomeOp2;OperandoEscolhido;ContagemReforco;OPTravado;NomeArqCSV
2012_7_31-H17m49;_leobmarques;6;5;17;31;3;2;6, 3, 9, ;6, 9, ;;;8.5, 11.5, 23, ;6, 15, ;23;geic;jogo;geic;AcumuladaDiscriminada; - ;_leobmarques_2012_7_31-H17m49.csv
